date,result,method,rounds,fighter,opponent,fight_time,ground_str_lnd_mean_dif,ground_str_att_mean_dif,sig_str%_mean_dif,total_str_lnd_mean_dif,ctrl_mean_dif
2022-06-04,W,Decision - Unanimous,3,Rinat Fakhretdinov,Andreas Michailidis,25.0,,,,,
2022-06-04,W,Decision - Split,3,Jeff Molina,Zhalgas Zhumagulo,25.0,2.456122752440663,2.0686037226944634,1.2927198657682968,3.0238519025565913,0.6771185684337016
2022-06-04,L,KO/TKO,3,Johnny Munoz,Tony Gravel,5.13,-0.6048445446300261,-0.981814657075858,-0.6735372441566942,0.44642887221254945,-0.23539385193992063
2022-06-04,L,Submission,3,Niklas Stolze,Benoit Saint Denis,5.53,0.133351310796585,0.049312682564813935,0.14008638753640534,-1.5309591669402867,-0.6559757082438125
2022-06-04,W,Decision - Unanimous,3,Damon Jackson,Dan Argueta,25.0,,,,,
2022-06-04,W,Decision - Unanimous,3,Movsar Evloe,Dan Ige,25.0,0.2033526419146258,0.034705045253237754,-0.06331952038686937,1.6328616957042512,1.4807303295857805
2022-06-04,L,Submission,3,Felice Herrig,Karolina Kowalkiewic,20.02,0.1868068727412706,0.1850777822841691,0.614700172690714,-0.6505441889560998,0.7597328616362516
2022-06-04,W,KO/TKO,3,Lucas Almeid,Michael Trizano,0.92,,,,,
2022-06-04,L,KO/TKO,5,Jairzinho Rozenstruik,Alexander Volkov,10.2,-0.19883682414538997,-0.16550551319365941,0.3434922954596801,-1.6294194541312073,-0.3405393160158936
2022-06-04,W,KO/TKO,3,Alonzo Menifield,Askar Mozharo,20.67,,,,,
2022-06-04,W,Submission,3,Karine Silva,Poliana Botelh,20.92,,,,,
2022-06-04,L,KO/TKO,3,Zarrukh Adashev,Ode Osbourne,5.02,-0.19501856972076959,-0.09418587220184625,-1.4871608758497936,0.11231847939017367,0.05000097912343446
2022-05-21,L,Submission,3,Parker Porte,Jailton Almeida,20.58,-3.6530843269519804,-4.096678495573721,-0.8769431520799686,1.8715119762916623,0.200208784946253
2022-05-21,W,KO/TKO,3,Sam Hughes,Elise Ree,15.87,0.2924452451557684,0.2856126978991346,0.41129426476743886,0.4737031899939679,0.981289375224909
2022-05-21,W,KO/TKO,3,Chase Hooper,Felipe Colares,15.0,0.4388116647662172,0.4832454379969301,0.27569032615192246,0.23096176173934385,-0.5132782927121348
2022-05-21,W,Decision - Unanimous,3,Jonathan Martinez,Vince Morales,25.0,0.841001130826233,0.6894709059250644,0.5468982033829551,0.368969809713321,0.5569523237754468
2022-05-21,L,KO/TKO,3,Omar Morales,Uros Medic,15.08,-1.890323534252228,-1.8153092566187345,-1.6905667837730687,0.5773455975633578,0.493114006300749
2022-05-21,W,Decision - Split,3,JunYong Park,Eryk Anders,25.0,-0.055015907484688216,0.017519589592559948,0.004482448920888988,1.7078660696031518,0.5043795917374605
2022-05-21,L,Decision - Unanimous,3,Polyana Viana,Tabatha Ricci,25.0,-1.4155872341244247,-1.0823495726908237,0.8181060806139887,-0.1582427530014972,-1.0014536616362948
2022-05-21,L,KO/TKO,3,Dusko Todorovic,Chidi Njokuani,20.8,0.7060894744896453,1.0589582026296387,-3.5890219243903014,1.3123884617725847,0.6958945441615538
2022-05-21,L,Decision - Split,3,Santiago Ponzinibbio,Michel Pereira,25.0,-0.030833629462092286,-0.04864441470104988,-0.7413392134644526,-0.47135192113218066,-0.2842113888323367
2022-05-21,W,Decision - Split,5,Ketlen Vieira,Holly Holm,25.0,-0.06774342223342285,-0.20159497008108293,-0.19892345900238612,-0.07287413834565766,0.45931724999061485
2022-05-21,W,Submission,3,Joseph Holmes,Alen Amedovsk,5.07,-0.18483655792178186,-0.20846915234535407,1.8351356202303633,1.496490106797159,1.1803147179401436
2022-05-14,L,Decision - Unanimous,3,Jake Hadley,Allan Nascimento,25.0,,,,,
2022-05-14,W,Submission,3,Andre Petrosk,Nick Maximo,5.27,3.315229997980253,2.584167392514799,1.0215119885372637,0.3509687599775849,-0.15277955873737054
2022-05-14,W,Decision - Unanimous,3,Tatsuro Tair,Carlos Candelario,25.0,,,,,
2022-05-14,W,Decision - Unanimous,3,Virna Jandiroba,Angela Hill,25.0,-0.1568360254745656,-0.22049897130782856,-0.06331952038686937,-0.908286491990504,0.33915100533236
2022-05-14,L,KO/TKO,3,Alan Patrick,Michael Johnson,15.37,0.47699420901242123,0.4076294330899475,0.614700172690714,-0.010143207448394953,1.6684900868643036
2022-05-14,L,Decision - Unanimous,3,Andrea Lee,Viviane Araujo,25.0,0.7277262495624942,0.5932323542252684,0.27569032615192246,0.25878156587639073,0.32413022475007813
2022-05-14,W,KO/TKO,3,Manuel Torres,Frank Camacho,15.45,,,,,
2022-05-14,W,Decision - Split,3,Katlyn Chookagian,Amanda Riba,25.0,-0.39993155717539786,-0.4576582594251831,-0.876943152079969,0.07167974589586033,-0.7686315626109262
2022-05-14,W,KO/TKO,3,Davey Grant,Louis Smolka,0.82,-1.0833990991824496,-1.1485135769844332,-0.06331952038686937,0.20014178264634097,-0.1715555344652228
2022-05-14,W,Submission,3,Ryan Spann,Ion Cutelaba,10.37,-0.47375114271805885,-0.5264000820678945,-0.33452739761790246,-0.5024446434029977,0.0612665645601459
2022-05-14,L,KO/TKO,5,Aleksandar Raki,Jan Blachowic,5.18,1.151552490695359,0.9764680154583848,0.07228441822864735,0.7794482923236683,0.9737789849337682
2022-05-07,L,Decision - Unanimous,3,Fernie Garci,Journey Newso,25.0,,,,,
2022-05-07,W,Decision - Unanimous,3,Loopy Godine,Ariane Carnelossi,25.0,-0.3222937172081163,-0.19386151503377788,0.6147001726907135,-0.9467432800623039,0.849857545129943
2022-05-07,L,Decision - Split,3,Kleydson Rodrigues,CJ Vergar,25.0,,,,,
2022-05-07,W,Decision - Unanimous,3,Tracy Corte,Melissa Gatt,25.0,2.020841748033937,1.925105167927803,0.07228441822864735,0.5874370951424828,2.243034944136584
2022-05-07,L,KO/TKO,3,Cameron VanCamp,Andre Fialh,10.58,,,,,
2022-05-07,W,Decision - Unanimous,3,Blagoy Ivanov,Marcos Rogerio de Lima,25.0,-0.5246612017129976,-0.506636808058115,-0.8091411827722103,0.7164446182485921,-0.4381743898007257
2022-05-07,L,Submission,3,Matt Schnell,Brandon Royval,10.23,-0.3948405512759039,-0.5624895389553181,-0.19892345900238612,-0.07178316563440075,-0.37058087718045735
2022-05-07,L,Decision - Split,3,Norma Dumont,Macy Chiasso,25.0,-1.1177633890040333,-1.4690223250560757,-0.19892345900238573,0.04631463035914101,-0.5583406344589803
2022-05-07,L,Decision - Unanimous,3,Danny Roberts,Francisco Trinaldo,25.0,0.0480769619800627,-0.012554957813626366,-0.26672542831014406,-0.41298488107994524,-0.24290424223106158
2022-05-07,W,Decision - Split,3,Randy Brown,Khaos Williams,25.0,0.3497190615250745,0.42051852483545593,0.14008638753640534,0.029677296512475783,0.6207906412501446
2022-05-07,L,Decision - Split,3,Mauricio Rua,Ovince Saint Preu,25.0,0.4477209250903314,0.5021494392236757,0.07228441822864735,0.7543559199647636,0.49311400630074886
2022-05-07,L,KO/TKO,3,Tony Ferguson,Michael Chandler,0.28,-0.6366633315018627,-0.7764484619307574,-0.7413392134644526,0.3692425528911353,-0.1790659247563637
2022-05-07,L,Decision - Split,5,Rose Namajunas,Carla Esparza,25.0,-0.3655672673538142,-0.3442342520647092,-0.19892345900238573,-0.9808361772890769,-0.5808718053324031
2022-05-07,W,Submission,5,Charles Oliveira,Justin Gaethje,15.37,0.482085214911915,0.39216252299533744,-0.4701313362334188,-1.2317599008781266,0.58323868979444
