,result,fighter,opponent,date,weight class,method,norm_td_acc_dif,norm_td_def_dif,norm_sub_avg_dif,str_dif,slpm_dif,str. def_dif,str. acc._dif,sapm_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif
6157,win,Katlyn Chookagian,Irene Aldana,2017-04-08,Women's Bantamweight,S-DEC:,-1.2307375599890022,-0.8920120168484282,0.09626256799951427,0.7843953118176497,-0.5175226549266363,0.25846151233061027,-0.30447413526990447,-0.8903253297106671,-0.35253776433502426,1.3241480366186817,0.3807192252998732,-1.162132493844933
6158,win,Bibulatov Magomed,Jenel Lausa,2017-04-08,Flyweight,U-DEC:,-0.916491304828454,0.8122853202888934,-0.7591859353523274,1.5363132322218633,1.3693413280899616,-0.07767720804938497,0.7492857336233713,-1.0437875976040403,-0.35253776433502426,0.9880564779800974,0.3807192252998732,-0.5740037583545848
6159,win,Glover Teixeira,Rashad Evans,2016-04-16,Light Heavyweight,KO/TKO:Punch,-0.25308254393396307,-0.42416568900681045,0.9517110713513559,-0.042714400626985075,1.0538122339400284,-0.918024008999372,1.0735195394366865,0.9266679221468752,-0.35253776433502426,0.11817244385670325,1.132787862497132,-1.162132493844933
6160,win,Rose Namajunas,Tecia Torres,2016-04-16,Women's Strawweight,U-DEC:,1.4927299847357496,-0.0231545508568524,0.4764619028225549,-0.5690569449099344,-0.6752872020016027,-0.07767720804938497,-0.6287079410832194,-0.05549059237071521,-0.35253776433502426,-0.00044810625103244216,1.132787862497132,-0.5740037583545848
6161,win,Khabib Nurmagomedov,Darrell Horcher,2016-04-16,Catch Weight,KO/TKO:Punches,-0.07850129106699184,1.2467140532846812,0.09626256799951433,2.5889983207877623,1.2999249273769762,2.191259154515581,0.34399347635672656,-1.510312891999896,-0.6881393265757445,1.9765610622112273,2.6369251368916498,-0.5740037583545848
6162,win,Cub Swanson,Hacran Dias,2016-04-16,Featherweight,U-DEC:,0.4103262169605278,-0.4910008786984702,0.0012127342937540688,1.0475665839591244,1.634385767175905,0.42653087252060695,0.7492857336233713,0.208464508405887,-0.35253776433502426,0.39495372744141943,0.3807192252998732,-0.5740037583545848
6163,win,Michael Chiesa,Beneil Dariush,2016-04-16,Lightweight,SUB:Rear Naked Choke,0.6896562215476819,-0.6915064477734494,0.0012127342937540688,-0.6066528409301452,-1.2053760801734896,-0.3297812483343804,-0.6287079410832198,-0.5588468310609804,-1.3246594926737276,0.0588621688028354,1.132787862497132,-0.5740037583545848
6164,win,Raquel Pennington,Bethe Correia,2016-04-16,Women's Bantamweight,S-DEC:,0.34049371581373944,-0.7249240426192789,0.6665615702340753,0.33324455957512167,-0.27140996148968877,0.5105655526156058,0.5871688307167134,-1.0130951440253657,-0.35253776433502426,0.13794253554132588,0.7567535438985026,-1.162132493844933
6165,lose,Court McGee,Santiago Ponzinibbio,2016-04-16,Welterweight,KO/TKO:Punch,-0.21816629336056878,0.31102139760144587,0.4764619028225549,-0.11790619266740641,-0.19568297889370512,0.006357472045613839,-0.304474135269904,-0.663201173228474,-0.35253776433502426,-0.13883874804339075,-0.747383730496015,0.6022537126261116
6166,win,Michael Graves,Randy Brown,2016-04-16,Welterweight,SUB:Rear Naked Choke,0.5849074698274993,-0.1568249302401715,-0.18888693311776622,0.032477391413436266,-1.9941988155483212,0.2584615123306093,0.5061103792633849,-1.1358649583400646,-0.35253776433502426,0.9880564779800974,0.7567535438985026,-0.5740037583545848
6167,win,John Dodson,Manvel Gamburyan,2016-04-16,Bantamweight,KO/TKO:Punches,-0.21816629336056878,0.4446917769847653,-0.6641361016465671,0.521224039676175,0.6814879028431081,0.5105655526156058,-0.061298780909917194,0.46014262775101966,-0.35253776433502426,0.6321948276568907,0.3807192252998732,-0.5740037583545848
