result,fighter,opponent,f_kd,o_kd,f_str,o_str,f_td,o_td,f_sub,o_sub,weight_class,method,type,round,time,date,f_win_perc,o_win_perc,f_str_efc,o_str_efc,f_win_strk,o_win_strk,f_lose_strk,o_lose_strk,f_wins,f_losses,f_draws,f_height,f_weight,f_reach,f_stance,f_age,f_slpm,f_str_acc,f_sapm,f_str_def,f_td_avg,f_td_acc,f_td_def,f_sub_avg,f_last_match,o_wins,o_losses,o_draws,o_height,o_weight,o_reach,o_stance,o_age,o_slpm,o_str_acc,o_sapm,o_str_def,o_td_avg,o_td_acc,o_td_def,o_sub_avg,o_last_match
win,Trevin Giles,Preston Parsons,0,0,55,42,0,3,0,3,Welterweight,S-DEC,Split,3,5:00,2023-03-25,0.5,0.5,0.0092,0.0,1,1,0,0,16,4,0,182.88,76.5,187.96,Orthodox,31,2.99,0.54,2.09,0.59,1.29,0.55,0.73,0.3,,10,4,0,180.34,76.5,180.34,Orthodox,28,4.14,0.56,3.76,0.49,3.11,0.33,1.0,3.5,03-25-2023
win,CJ Vergara,Daniel Lacerda,0,2,83,48,0,1,1,2,Flyweight,KO/TKO,Elbows,2,4:04,2023-03-25,0.5,0,0.0,0.0,0,0,1,2,11,4,1,167.64,56.25,172.72,Orthodox,32,5.63,0.56,4.75,0.53,0.0,0.0,0.72,0.3,,11,5,0,167.64,56.25,177.8,Switch,27,4.75,0.48,9.76,0.34,1.52,0.4,0.0,1.5,03-25-2023
win,Leon Edwards,Kamaru Usman,0,0,120,87,0,4,0,0,Welterweight,M-DEC,Majority,5,5:00,2023-03-18,0.86,0.94,0.0084,0.008,10,0,0,1,21,3,0 (1 NC),187.96,76.5,187.96,Southpaw,32,2.8,0.53,2.4,0.53,1.26,0.33,0.69,0.3,03-18-2023,20,3,0,182.88,76.5,193.04,Switch,36,4.46,0.52,2.75,0.54,2.96,0.45,0.97,0.1,03-18-2023
win,Justin Gaethje,Rafael Fiziev,0,0,103,97,1,0,0,0,Lightweight,M-DEC,Majority,3,5:00,2023-03-18,0.6,1.0,0.007,0.005,0,6,1,0,24,4,0,180.34,69.75,177.8,Orthodox,35,7.38,0.6,7.66,0.53,0.13,0.25,0.75,0.0,,12,2,0,172.72,69.75,180.34,Switch,30,5.06,0.51,5.17,0.48,0.31,0.4,0.9,0.0,03-18-2023
win,Gunnar Nelson,Bryan Barberena,0,0,10,7,1,0,1,0,Welterweight,SUB,Armbar,1,4:51,2023-03-18,0.64,0.56,0.0037,0.0052,1,0,0,1,19,5,1,180.34,76.5,182.88,Switch,35,1.84,0.61,3.0,0.49,1.9,0.59,0.66,1.0,03-18-2023,18,10,0,182.88,76.5,182.88,Southpaw,34,5.81,0.48,4.83,0.44,0.15,0.25,0.54,0.3,
win,Jennifer Maia,Casey O'Neill,0,0,145,137,0,0,0,0,Women's Flyweight,U-DEC,Unanimous,3,5:00,2023-03-18,0.5,1.0,0.0,0.0,1,3,0,0,21,9,1,162.56,56.25,162.56,Orthodox,35,4.5,0.38,4.78,0.55,0.27,0.21,0.57,0.1,03-18-2023,9,1,0,167.64,56.25,175.26,Orthodox,26,8.77,0.55,5.9,0.58,1.96,0.42,0.71,0.7,03-18-2023
win,Marvin Vettori,Roman Dolidze,0,0,106,71,0,0,0,0,Middleweight,U-DEC,Unanimous,3,5:00,2023-03-18,0.64,0.83,0.0012,0.0126,0,3,1,0,19,6,1,182.88,83.25,187.96,Southpaw,30,4.38,0.44,3.65,0.59,1.77,0.44,0.75,0.5,,12,2,0,187.96,83.25,193.04,Orthodox,35,3.02,0.44,3.01,0.55,1.72,0.5,0.33,1.7,03-18-2023
win,Jack Shore,Makwan Amirkhani,0,0,28,10,1,1,1,0,Featherweight,SUB,Rear Naked Choke,2,4:27,2023-03-18,0.75,0.54,0.0092,0.0062,0,0,1,1,17,1,0,172.72,60.75,180.34,Orthodox,28,3.84,0.58,2.2,0.57,3.42,0.4,0.79,0.7,03-18-2023,17,9,0,177.8,65.25,182.88,Southpaw,35,1.33,0.44,2.98,0.46,3.96,0.43,0.35,1.1,03-18-2023
win,Chris Duncan,Omar Morales,0,0,53,47,5,0,0,0,Lightweight,S-DEC,Split,3,5:00,2023-03-18,0,0.6,0,0.0043,0,0,0,1,10,1,0,177.8,69.75,180.34,Orthodox,30,4.69,0.52,4.69,0.41,4.73,0.36,0.0,0.0,,11,4,0,180.34,69.75,185.42000000000002,Orthodox,38,3.42,0.4,3.18,0.58,0.46,1.0,0.63,0.0,03-18-2023
win,Yanal Ashmouz,Sam Patterson,0,0,15,2,1,0,0,0,Lightweight,KO/TKO,Punches,1,1:15,2023-03-18,0,0,0,0,0,0,0,0,7,0,0,175.26,69.75,172.72,Orthodox,28,12.0,0.75,1.6,0.71,12.0,1.0,0.0,0.0,,10,2,1,190.5,69.75,198.12,Orthodox,27,2.56,0.36,3.98,0.44,0.0,0.0,0.33,2.8,03-18-2023
win,Muhammad Mokaev,Jafel Filho,0,0,16,9,4,0,2,2,Flyweight,SUB,Neck Crank,3,4:32,2023-03-18,1.0,0,0.0,0,2,0,0,0,10,0,0 (1 NC),170.18,56.25,177.8,Orthodox,23,1.14,0.54,0.87,0.61,7.34,0.53,0.0,1.3,03-18-2023,14,3,0,170.18,56.25,172.72,Orthodox,30,1.46,0.36,1.92,0.46,1.15,0.28,0.55,1.7,
win,Lerone Murphy,Gabriel Santos,0,0,93,69,1,5,0,0,Featherweight,S-DEC,Split,3,5:00,2023-03-18,1.0,0,0.0135,0,3,0,0,0,12,0,1,175.26,65.25,185.42000000000002,Orthodox,32,3.58,0.48,2.64,0.55,0.83,0.37,0.43,0.6,,10,1,0,175.26,65.25,177.8,Orthodox,27,4.6,0.56,6.2,0.42,5.0,0.45,0.5,0.0,
win,Christian Duncan,Dusko Todorovic,0,0,9,4,0,0,0,0,Middleweight,KO/TKO,Other,1,1:52,2023-03-18,0,0.5,0,0.0,0,1,0,0,8,0,0,187.96,83.25,200.66,Switch,28,4.82,0.64,2.14,0.33,0.0,0.0,0.0,0.0,03-18-2023,12,4,0,185.42,83.25,187.96,Orthodox,29,5.54,0.57,4.55,0.46,0.96,0.12,0.45,0.0,03-18-2023
win,Jake Hadley,Malcolm Gordon,1,0,10,3,0,0,0,0,Flyweight,KO/TKO,Punch,1,1:01,2023-03-18,0.5,0.25,0.0,0.0,1,0,0,1,10,1,0,170.18,56.25,177.8,Southpaw,27,4.21,0.48,3.52,0.62,0.47,1.0,0.37,1.9,03-18-2023,14,7,0,170.18,56.25,180.34,Switch,33,1.93,0.42,2.26,0.42,1.61,0.3,0.09,0.8,03-18-2023
win,Joanne Wood,Luana Carolina,0,0,131,100,2,0,0,0,Women's Flyweight,S-DEC,Split,3,5:00,2023-03-18,0.5,0.6,0.0032,0.0039,0,0,3,1,16,8,0,167.64,56.25,165.1,Orthodox,38,6.93,0.51,4.72,0.51,1.57,0.54,0.59,0.3,,8,4,0,167.64,56.25,175.26,Orthodox,30,4.98,0.5,4.43,0.45,0.0,0.0,0.78,0.8,
win,Merab Dvalishvili,Petr Yan,0,0,147,75,11,1,0,0,Bantamweight,U-DEC,Unanimous,5,5:00,2023-03-11,0.78,0.73,0.0018,0.0106,7,0,0,2,16,4,0,167.64,60.75,172.72,Orthodox,32,4.46,0.41,2.41,0.56,6.55,0.36,0.78,0.3,03-11-2023,16,5,0,170.18,60.75,170.18,Switch,30,5.03,0.53,4.26,0.59,1.71,0.52,0.85,0.1,03-11-2023
