name,wins,losses,draws,height,weight,reach,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,last_update,last_match,url
Kalib Starnes,17,11,1,190.5,83.25,187.96,Orthodox,48,2.71,0.48,4.43,0.53,1.46,0.33,0.25,0.6,04-18-2023,04-19-2008,http://ufcstats.com/fighter-details/c8136ab8aa32c974
Charles McCarthy,10,5,0,177.8,83.25,180.34,Orthodox,43,0.18,0.12,4.03,0.56,2.67,0.6,0.0,2.7,04-18-2023,04-19-2008,http://ufcstats.com/fighter-details/da97d6c97d09c030
Kuniyoshi Hironaka,23,9,0,177.8,75.60000000000001,177.8,Orthodox,47,1.98,0.4,3.01,0.54,1.91,0.3,0.25,0.6,04-18-2023,03-22-2010,http://ufcstats.com/fighter-details/9d4522df6fc49a47
Din Thomas,26,9,0 (1 NC),175.26,69.75,179.67,Orthodox,47,1.85,0.37,2.6,0.59,1.38,0.52,0.76,1.2,04-18-2023,04-02-2008,http://ufcstats.com/fighter-details/40a604761ca7d64d
Ryan Roberts,21,12,1 (1 NC),167.64,69.75,171.86,Orthodox,45,0.0,0.0,22.5,0.45,0.0,0.0,0.0,0.0,04-18-2023,04-02-2008,http://ufcstats.com/fighter-details/35dc6220b113b7ec
Jeff Cox,10,7,0,177.8,69.75,182.27,Orthodox,55,0.56,0.25,1.69,0.33,4.23,0.5,0.8,0.0,04-18-2023,04-02-2008,http://ufcstats.com/fighter-details/c9bbf1a0285a8076
Roman Mitichyan,8,3,0,177.8,76.5,182.27,Orthodox,45,0.26,0.16,2.7,0.43,1.93,1.0,0.25,1.9,04-18-2023,04-02-2008,http://ufcstats.com/fighter-details/2961be02cfb0d2c1
Tommy Speer,21,7,0,177.8,76.5,180.34,Orthodox,39,2.56,0.51,5.12,0.35,2.02,0.33,0.33,0.0,04-18-2023,04-02-2008,http://ufcstats.com/fighter-details/1411c630ba711b64
John Halverson,16,8,0 (1 NC),175.26,69.75,179.67,Southpaw,51,2.94,0.43,5.29,0.47,0.0,0.0,0.66,2.0,04-18-2023,03-01-2008,http://ufcstats.com/fighter-details/88c8f47241d90040
Tim Sylvia,31,10,0 (1 NC),203.2,119.25,203.2,Orthodox,47,4.23,0.41,2.61,0.61,0.11,1.0,0.75,0.1,04-18-2023,07-19-2008,http://ufcstats.com/fighter-details/2a542ee8a8b83559
David Heath,18,7,0,180.34,92.25,182.88,Orthodox,47,1.48,0.3,5.16,0.49,0.33,0.5,0.57,1.0,04-18-2023,02-02-2008,http://ufcstats.com/fighter-details/4f95f74620a6b7a4
