result,fighter,opponent,date,weight_class,method,type,kd_dif,str_dif,td_dif,sub_dif,td_avg_dif,td_def_dif,sub_avg_dif,str_dif,slpm_dif,str_acc_dif,sapm_dif,str_def_dif,str_efc_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif
win,Drakkar Klose,Marc Diakiese,2017-07-07,Lightweight,S-DEC,Split,0.004209787510434131,0.1634268975193149,0.39614446071468234,-0.008752130294404926,-0.8559269636419262,0.07038180287413956,0.0,0.1634268975193149,1.0210255149533507,1.2174728754858817,0.5161442941176432,-0.10763262337026974,-0.01587,0.23225199010944048,0.001393404252148399,-1.1045310063244274,-0.018188382616538157
lose,Nick Roehrick,Jared Cannonier,2017-07-07,Light Heavyweight,KO/TKO,Elbows,0.004209787510434131,-2.081485638475912,-0.3897530514819292,-0.008752130294404926,-0.09342800832374647,-2.209606094577194,0.0,-2.081485638475912,-1.0739976409416072,-2.7496255665946467,1.935648158979349,-1.5004036708370128,-0.00855,-1.2595986437265314,-1.2360269830029669,0.009144189518573277,-1.0383332813020205
win,Brad Tavares,Elias Theodorou,2017-07-07,Middleweight,U-DEC,Unanimous,0.004209787510434131,-0.13098786129973122,-0.782701807580235,-0.008752130294404926,-0.23359325746311774,0.7267419551707363,0.0,-0.13098786129973122,-0.5596506385961387,-0.022245387664283488,0.4278196091929148,0.24056013849641636,0.00196,0.23225199010944048,-0.34508430417928393,-0.547693408402927,-0.018188382616538157
lose,Marcel Fortuna,Jordan Johnson,2017-07-07,Light Heavyweight,U-DEC,Unanimous,0.004209787510434131,0.3842379666335995,-0.782701807580235,-0.008752130294404926,-1.567966429269932,-0.8623405188104968,-0.7,0.3842379666335995,0.22441491375975903,-0.1048932718742941,1.1911972431852096,0.9369456622297875,0.06667,0.23225199010944048,0.001393404252148399,0.009144189518573277,-0.018188382616538157
win,Angela Hill,Ashley Yoder,2017-07-07,Women's Strawweight,U-DEC,Unanimous,0.004209787510434131,0.7522564151574072,-0.782701807580235,-0.008752130294404926,-0.36815189663691406,0.24310815874166541,-0.5,0.7522564151574072,1.4789197975291948,0.8042334544358265,0.7685005367597242,1.198090233629802,0.00781,-1.880897177516757,0.001393404252148399,0.009144189518573277,2.022101414754426
lose,Tom Gallicchio,James Krause,2017-07-07,Welterweight,U-DEC,Unanimous,0.004209787510434131,-1.9710801039187695,0.39614446071468234,-0.008752130294404926,0.02431080095332542,-2.0368797387096684,-0.9,-1.9710801039187695,-0.8042790909311786,-1.9231467244945366,1.8725590983188287,-1.587451861303684,0.0,1.1593393261852534,-1.4092658372186828,-1.1045310063244274,-0.018188382616538157
lose,Ed Herman,CB Dollaway,2017-07-07,Light Heavyweight,U-DEC,Unanimous,0.004209787510434131,-1.124637672314012,-1.9615480758751525,1.7131285190109828,-0.8895666234353752,-0.1023445529933855,-0.19999999999999996,-1.124637672314012,0.4000455974874802,0.0604024965457276,0.718029288231308,-1.065162718503656,-0.0021599999999999996,0.23225199010944048,0.07563862748745538,0.009144189518573277,-2.0584781799875027
win,Tecia Torres,Juliana Lima,2017-07-07,Women's Strawweight,SUB,Rear Naked Choke,0.004209787510434131,0.31063427692883794,-0.3897530514819292,0.8521881943582889,-0.5924162952599082,-0.30961618003441566,0.1,0.31063427692883794,1.7423658231207766,0.3083461491757604,0.9388410005431288,0.5017047098964299,0.00288,0.23225199010944048,0.7438456366052176,0.5659817874400735,-1.0383332813020205
lose,Michael Chiesa,Kevin Lee,2017-06-25,Lightweight,SUB,Rear Naked Choke,0.004209787510434131,-0.6830155340854428,-0.3897530514819292,-0.8696924549470987,0.1140165604025231,-0.5168878070754462,0.19999999999999996,-0.6830155340854428,-1.274718422344717,-0.10489327187429456,-1.1872603437164038,0.3276083289630879,0.00565,1.1593393261852534,0.001393404252148399,0.009144189518573277,-0.018188382616538157
win,Tim Boetsch,Johny Hendricks,2017-06-25,Middleweight,KO/TKO,Punches,0.004209787510434131,1.1202748636812148,0.0031957046163765875,-0.008752130294404926,-1.3324888107157884,-0.1368898241668906,0.5,1.1202748636812148,-0.36520238161187585,0.3909940333857715,-0.6825478584322417,0.3276083289630869,0.0057399999999999994,-1.880897177516757,-0.39458111966948856,-0.547693408402927,1.001956516068944
win,Felice Herrig,Justine Kish,2017-06-25,Women's Strawweight,U-DEC,Unanimous,0.004209787510434131,0.23703058722407644,0.7890932168129882,0.8521881943582889,0.1196231703680979,0.8649230398647563,0.7000000000000001,0.23703058722407644,-0.4342001502191947,-0.9313721139744044,0.383657266730551,-0.804018147103641,0.0,0.23225199010944048,-0.6173167893754092,0.009144189518573277,-0.018188382616538157
lose,Joachim Christensen,Dominick Reyes,2017-06-25,Light Heavyweight,KO/TKO,Punches,-1.3416592795753575,-0.46220446497115814,0.0031957046163765875,-0.008752130294404926,-0.1999535976696686,-2.762330433353275,-0.4,-0.46220446497115814,-0.6223758827846103,-0.7660763455543828,-0.297704588403068,-0.19468081383694077,0.02198,-1.880897177516757,1.2388137915072637,0.5659817874400735,-0.018188382616538157
lose,Alex Garcia,Tim Means,2017-06-25,Welterweight,U-DEC,Unanimous,0.004209787510434131,-1.1982413620187733,0.0031957046163765875,-0.008752130294404926,1.4091434624503136,0.035836531700634854,-0.1,-1.1982413620187733,-1.9709686328367537,-1.3446115350244596,-0.36079364906358835,-0.10763262337026974,0.002960000000000001,0.23225199010944048,0.05089021974235305,0.5659817874400735,-1.0383332813020205
lose,BJ Penn,Dennis Siver,2017-06-25,Featherweight,M-DEC,Majority,1.3500788545962257,-1.7134671899521041,0.0031957046163765875,-0.008752130294404926,0.1812958799894212,0.3121987010886752,0.2,-1.7134671899521041,-0.710191224648471,1.3001207596958924,0.3394949242681866,-0.804018147103641,-0.0014999999999999996,0.23225199010944048,-0.02335500349295393,0.009144189518573277,2.022101414754426
win,Clay Guida,Erik Koch,2017-06-25,Lightweight,U-DEC,Unanimous,0.004209787510434131,0.8994637945669302,0.7890932168129882,-0.008752130294404926,1.201698893724044,-0.4132519935549313,-0.4,0.8994637945669302,0.17423471840898153,-0.7660763455543823,0.12499211802241761,1.198090233629802,-0.0031400000000000004,-1.880897177516757,0.001393404252148399,-0.547693408402927,2.022101414754426
win,Marvin Vettori,Vitor Miranda,2017-06-25,Middleweight,U-DEC,Unanimous,0.004209787510434131,0.6418508806002649,1.1820419729112939,-0.008752130294404926,0.4616263782681638,0.8649230398647563,0.3,0.6418508806002649,0.8642124044821713,-0.10489327187429456,0.44674632739107073,0.0664637575630733,0.0,1.1593393261852534,-1.2360269830029669,0.009144189518573277,-0.018188382616538157
lose,Maryna Moroz,Carla Esparza,2017-06-25,Women's Strawweight,U-DEC,Unanimous,0.004209787510434131,-0.09418601644735046,-2.3544968319734583,0.8521881943582889,-1.4165879601994114,0.0012912605271297633,0.39999999999999997,-0.09418601644735046,1.2593814428695438,-0.7660763455543828,1.0587102157981176,-0.19468081383694125,0.0,0.23225199010944048,0.620103597879706,1.1228193853615738,-1.0383332813020205
lose,Devin Powell,Darrell Horcher,2017-06-25,Lightweight,S-DEC,Split,0.004209787510434131,0.20022874237169566,0.0031957046163765875,-0.008752130294404926,-0.19434698770409375,-1.6223364846276078,-0.09999999999999998,0.20022874237169566,0.5066785126078822,-0.27018904029431673,-0.33555802479938024,1.023993852696459,0.0,-1.880897177516757,0.001393404252148399,0.009144189518573277,-0.018188382616538157
win,Jared Gordon,Michel Quinones,2017-06-25,Featherweight,KO/TKO,Punches,0.004209787510434131,1.8563117607288302,1.5749907290095995,-0.008752130294404926,1.1288129641715707,0.8994683110382614,0.0,1.8563117607288302,1.4977373707857367,2.2918953702160243,-1.698281735066618,0.8498974717631159,0.0,0.23225199010944048,0.001393404252148399,0.009144189518573277,-0.018188382616538157
win,Anthony Rocco Martin,Johnny Case,2017-06-25,Lightweight,U-DEC,Unanimous,0.004209787510434131,-0.38860077526639664,0.39614446071468234,0.8521881943582889,-0.5531700255008842,-0.13688982416689022,0.8,-0.38860077526639664,-0.8105516153500256,-0.10489327187429456,-0.03903943969493519,-0.28172900430361275,-0.00905,0.23225199010944048,-1.3597690217284784,0.5659817874400735,-1.0383332813020205
lose,Bethe Correia,Holly Holm,2017-06-17,Women's Bantamweight,KO/TKO,Kick,-1.3416592795753575,-0.38860077526639664,0.0031957046163765875,-0.008752130294404926,-0.2952659670844411,0.24310815874166503,-0.1,-0.38860077526639664,0.7387619161052279,0.22569826496574932,1.3678466130346665,-0.020584432903598227,-0.00297,-1.880897177516757,0.42211633591888764,0.5659817874400735,-3.078623078672985
lose,Andrei Arlovski,Marcin Tybura,2017-06-17,Heavyweight,U-DEC,Unanimous,0.004209787510434131,-0.8670247583473466,-0.782701807580235,-0.008752130294404926,-0.558776635466459,-0.1023445529933855,0.1,-0.8670247583473466,0.13032704747705137,-0.2701890402943163,-0.06427506395914302,0.15351194802974386,0.01243,0.23225199010944048,-0.07285181898315858,-1.1045310063244274,4.062391212125391
lose,Dong Hyun Kim,Colby Covington,2017-06-17,Welterweight,U-DEC,Unanimous,0.004209787510434131,-1.0510339826092505,-2.3544968319734583,-0.008752130294404926,-0.6260559550533571,-0.03325401064637533,0.39999999999999997,-1.0510339826092505,-1.2559008490881751,0.8042334544358265,-0.7267102008946057,0.2405601384964154,0.004109999999999999,1.1593393261852534,-0.04810341123805598,0.009144189518573277,-0.018188382616538157
lose,Tarec Saffiedine,Rafael Dos Anjos,2017-06-17,Welterweight,U-DEC,Unanimous,0.004209787510434131,-0.7934210686425851,0.0031957046163765875,-0.8696924549470987,-0.8559269636419261,0.8649230398647563,-0.5,-0.7934210686425851,0.2934126823670779,-0.022245387664283488,-0.08951068822335115,0.0664637575630733,0.00343,1.7549738468201646,-0.6173167893754092,0.009144189518573277,-0.018188382616538157
win,Jon Tuck,Takanori Gomi,2017-06-17,Lightweight,SUB,Rear Naked Choke,0.004209787510434131,0.23703058722407644,0.0031957046163765875,0.8521881943582889,-0.4522510461205369,-0.44779726472843606,0.19999999999999996,0.23703058722407644,-0.5220154920830553,-0.1048932718742941,0.14391883622057386,-0.020584432903598227,0.0015500000000000002,-1.880897177516757,0.07563862748745524,0.009144189518573277,-0.018188382616538157
lose,Cyril Asker,Walt Harris,2017-06-17,Heavyweight,KO/TKO,Elbows,-1.3416592795753575,-0.7198173789378235,0.0031957046163765875,-0.008752130294404926,2.311807666907865,1.0376493957322817,0.8,-0.7198173789378235,0.17423471840898183,-0.022245387664283488,1.5760405132143838,-1.674500051770356,-0.02941,-1.880897177516757,-0.9885429055519439,-0.547693408402927,1.001956516068944
lose,Rolando Dy,Alex Caceres,2017-06-17,Featherweight,KO/TKO,Other,-1.3416592795753575,-1.1614395171663927,0.39614446071468234,-0.8696924549470987,-0.16070732791064465,0.13947234522115012,-0.7,-1.1614395171663927,-0.716463749067318,-1.1793157666044378,1.014547873335753,-0.9781145280369841,-0.00282,-1.880897177516757,-1.1617817597676598,0.009144189518573277,-2.0584781799875027
win,Yuta Sasaki,Justin Scoggins,2017-06-17,Flyweight,SUB,Rear Naked Choke,-1.3416592795753575,-0.6094118443806812,0.39614446071468234,0.8521881943582889,-0.21677342756639323,-1.4150648575865774,0.7,-0.6094118443806812,-0.8920944327950389,-0.8487242297643939,0.21962570901319795,-0.4558253852369558,0.0,-0.37295967591867973,-0.41932952741459073,0.009144189518573277,1.001956516068944
win,Li Jingliang,Frank Camacho,2017-06-17,Welterweight,U-DEC,Unanimous,0.004209787510434131,2.1507265195478764,0.39614446071468234,-0.008752130294404926,0.08037690060907385,-0.44779726472843606,0.0,2.1507265195478764,-1.3311711421143413,-0.3528369245043278,-2.2660832810113,0.5017047098964299,0.01744,0.23225199010944048,1.2388137915072637,0.5659817874400735,-0.018188382616538157
win,Russell Doane,Kwan Ho Kwak,2017-06-17,Bantamweight,KO/TKO,Punches,1.3500788545962257,0.23703058722407644,-0.3897530514819292,-0.008752130294404926,0.747563486512481,0.8994683110382614,0.8,0.23703058722407644,-0.9799097746588995,-0.1048932718742941,-1.1115534709237795,0.5017047098964309,0.01333,-1.2595986437265314,0.4963615591541945,0.009144189518573277,3.0422463134399087
lose,Carls John De Tomas,Naoki Inoue,2017-06-17,Flyweight,U-DEC,Unanimous,0.004209787510434131,-1.1982413620187733,0.7890932168129882,-4.313453753557874,0.7699899263747805,0.2085628875681603,-2.5,-1.1982413620187733,-1.2245382269939395,0.14305038075573867,0.35842164246634256,-1.4133554803703412,0.0,1.1593393261852534,0.001393404252148399,0.009144189518573277,-0.018188382616538157
lose,Derrick Lewis,Mark Hunt,2017-06-10,Heavyweight,KO/TKO,Punches,0.004209787510434131,-0.3149970855616351,0.0031957046163765875,-0.008752130294404926,0.046737240815624775,-0.4132519935549309,-0.2,-0.3149970855616351,-0.1832991734653076,0.5562898018057937,-0.19045318528018365,-0.891066337570313,-0.017190000000000004,0.23225199010944048,0.3478711126835807,2.793332179126075,-1.0383332813020205
lose,Daniel Kelly,Derek Brunson,2017-06-10,Middleweight,KO/TKO,Punch,-1.3416592795753575,-0.2781952407092543,0.0031957046163765875,-0.008752130294404926,-0.7157617145025549,-0.24052563768740545,-0.3,-0.2781952407092543,0.055056754450885426,-0.7660763455543823,1.008238967269701,0.8498974717631159,-0.00873,-0.37295967591867973,0.47161315140909205,2.2364945812045742,-2.0584781799875027
lose,Ross Pearson,Dan Hooker,2017-06-10,Lightweight,KO/TKO,Knee,-1.3416592795753575,-1.1614395171663927,0.0031957046163765875,-0.008752130294404926,-0.05978834853029735,-0.20598036651390078,-0.3,-1.1614395171663927,-0.7352813223238595,-0.6007805771343602,-0.32294021266727646,0.9369456622297875,-0.00313,-1.2595986437265314,-0.19659385770866994,0.009144189518573277,2.022101414754426
win,Ion Cutelaba,Henrique da Silva,2017-06-10,Light Heavyweight,KO/TKO,Punch,1.3500788545962257,0.49464350119074174,0.0031957046163765875,-0.008752130294404926,2.524858845599709,1.9012811750699081,-0.2,0.49464350119074174,0.4502257928382574,-1.4272594192344707,-1.250349404376924,0.6758010908297729,0.0,1.1593393261852534,-0.41932952741459073,0.009144189518573277,-1.0383332813020205
lose,Tim Elliott,Ben Nguyen,2017-06-10,Flyweight,SUB,Rear Naked Choke,0.004209787510434131,-0.09418601644735046,-0.3897530514819292,-0.8696924549470987,2.0370837785946967,-0.1023445529933855,-0.09999999999999998,-0.09418601644735046,-0.03903111183182221,0.3083461491757604,-0.15259974888387146,-0.2817290043036118,-0.00917,-0.8917096391734235,-0.5183231583950001,0.009144189518573277,-0.018188382616538157
lose,Mizuto Hirota,Alexander Volkanovski,2017-06-10,Featherweight,U-DEC,Unanimous,-1.3416592795753575,-1.5294579656902003,-1.5685993197768464,-0.008752130294404926,-0.08782139835817157,-0.37870672238142583,-0.1,-1.5294579656902003,-1.8894258153917405,-1.34461153502446,0.06821196342794948,-0.45582538523695487,0.0,0.23225199010944048,-1.6567499146697058,0.009144189518573277,-0.018188382616538157
win,Vinc Pichel,Damien Brown,2017-06-10,Lightweight,KO/TKO,Punch,1.3500788545962257,-0.09418601644735046,0.0031957046163765875,-0.008752130294404926,1.3026178731043911,-1.035066874678022,-0.49999999999999994,-0.09418601644735046,-0.0766662583449056,0.7215855702258154,-1.483778928820849,0.6758010908297729,0.0,0.23225199010944048,-0.8153040513362275,0.5659817874400735,-0.018188382616538157
win,Luke Jumeau,Dominique Steele,2017-06-10,Welterweight,U-DEC,Unanimous,0.004209787510434131,-0.167789706152112,-0.3897530514819292,-0.008752130294404926,-1.5119003296141837,0.3467439722621803,0.0,-0.167789706152112,0.3686829753932444,-0.5181326929243495,0.478290857721331,0.6758010908297729,-0.01754,0.23225199010944048,0.001393404252148399,0.009144189518573277,-2.0584781799875027
win,John Moraga,Ashkan Mokhtarian,2017-06-10,Flyweight,U-DEC,Unanimous,0.004209787510434131,1.5986988467621648,0.39614446071468234,3.4350091683163706,0.046737240815624775,0.3812892434356854,1.1,1.5986988467621648,0.3749554998120913,-0.022245387664283488,-0.6951656705643459,1.111042043163131,0.0,-1.880897177516757,0.941832898566036,0.009144189518573277,3.0422463134399087
win,Zak Ottow,Kiichi Kunimoto,2017-06-10,Welterweight,S-DEC,Split,0.004209787510434131,0.42103981148598024,0.0031957046163765875,-0.008752130294404926,-0.3457254567746148,1.0031041245587762,0.10000000000000003,0.42103981148598024,0.4627708416759518,-0.6834284613443717,-0.7456369190927619,1.459234805029816,0.0,0.23225199010944048,-0.6173167893754092,0.009144189518573277,-0.018188382616538157
lose,Jose Aldo,Max Holloway,2017-06-03,Featherweight,KO/TKO,Punches,-1.3416592795753575,-1.8238727245092463,0.0031957046163765875,-0.008752130294404926,0.11962317036809783,0.24310815874166541,-0.19999999999999998,-1.8238727245092463,-2.2657772805225713,-0.1048932718742941,-0.6573122341680334,0.0664637575630733,-0.0007200000000000002,0.23225199010944048,0.19938066621296674,-5.002394191774929,-0.018188382616538157
win,Claudia Gadelha,Karolina Kowalkiewicz,2017-06-03,Women's Strawweight,SUB,Rear Naked Choke,0.004209787510434131,-0.057384171594969696,0.39614446071468234,0.8521881943582889,1.526882271727385,-0.6205236205959614,0.49999999999999994,-0.057384171594969696,-1.481711728166674,-0.10489327187429456,-0.5626786431772528,-0.10763262337026974,0.00426,0.23225199010944048,-0.6173167893754092,0.5659817874400735,-1.0383332813020205
lose,Nate Marquardt,Vitor Belfort,2017-06-03,Middleweight,U-DEC,Unanimous,0.004209787510434131,0.7154545703050263,0.39614446071468234,-0.008752130294404926,0.47844620816488836,0.5885608704767155,0.20000000000000007,0.7154545703050263,0.6885817207544502,0.22569826496574932,-0.3166313066012243,0.4146565194297594,-0.02592,-1.880897177516757,-0.0976002267282609,0.009144189518573277,-1.0383332813020205
lose,Oluwale Bamgbose,Paulo Costa,2017-06-03,Middleweight,KO/TKO,Punches,0.004209787510434131,-0.38860077526639664,0.7890932168129882,-0.008752130294404926,0.23175536967959484,-1.4496101287600829,0.0,-0.38860077526639664,-2.5543134037895414,-1.0140199981844156,-2.3165545295397156,0.6758010908297739,0.05714,0.9008295008691459,0.8180908598405244,0.009144189518573277,1.001956516068944
lose,Erick Silva,Yancy Medeiros,2017-06-03,Welterweight,KO/TKO,Punch,-1.3416592795753575,-0.167789706152112,0.0031957046163765875,-0.008752130294404926,0.29342807930091824,-0.585978349422456,0.7,-0.167789706152112,-1.1806305560620094,0.8868813386458375,-0.9349041010743228,0.15351194802974483,-0.0012600000000000007,0.23225199010944048,0.2736258894482738,0.5659817874400735,-1.0383332813020205
win,Raphael Assuncao,Marlon Moraes,2017-06-03,Bantamweight,S-DEC,Split,0.004209787510434131,-0.057384171594969696,0.0031957046163765875,-0.008752130294404926,0.4391999384058643,1.1067399380792917,-0.09999999999999998,-0.057384171594969696,-0.10802888043914138,0.14305038075573823,-1.275585028641132,1.023993852696459,0.0,0.23225199010944048,2.1792532858211513,0.5659817874400735,-0.018188382616538157
win,Antonio Carlos Junior,Eric Spicely,2017-06-03,Middleweight,SUB,Rear Naked Choke,0.004209787510434131,-0.20459155100449275,0.0031957046163765875,1.7131285190109828,1.1848790638273194,-0.7587047052899815,-0.19999999999999996,-0.20459155100449275,-1.1179053118735374,-0.27018904029431673,-2.2534654688791953,-0.28172900430361275,0.0,0.23225199010944048,0.001393404252148399,0.009144189518573277,-0.018188382616538157
