,set,fighter,opponent,kd_dif,str_dif,td_dif,sub_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,result,result_pred
766,test,Curtis Blaydes,Chris Daukaus,1.3615359525013224,0.6538939142267068,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,-0.0812097876765268,0.5620785980262154,-1.071529169458313,win,win
767,test,Alexa Grasso,Joanne Wood,0.0070431212440949,-0.6635967659793974,0.7826895843948315,0.8474589629562826,-0.0172712135127385,0.3020626010843076,1.1341002253794747,-2.148820108909232,win,win
768,test,Matt Brown,Bryan Barberena,0.0070431212440949,-1.115307856335776,1.9669283658787844,0.0001258851697796,-1.776059615341257,0.0720991678278067,-0.0099430293270437,0.0057617699926063,lose,lose
769,test,Kai Kara-France,Askar Askarov,0.0070431212440949,0.9173920502679276,-0.7962954575837721,-1.6945402704032262,-0.0172712135127385,-0.6433426245257506,-0.5819646566803028,0.0057617699926063,win,lose
770,validation,Max Griffin,Neil Magny,1.3615359525013224,0.5033235507745807,-0.4015491970891212,0.0001258851697796,-0.0172712135127385,-0.5666881467735836,1.1341002253794747,0.0057617699926063,lose,win
771,validation,Viacheslav Borshchev,Marc Diakiese,0.0070431212440949,-0.1742430847599872,-4.34901180203563,0.0001258851697796,-0.0172712135127385,1.2730193192784214,0.5620785980262154,-2.148820108909232,lose,lose
772,validation,Sara McMann,Karol Rosa,0.0070431212440949,-0.0613153121708925,1.1774358448894824,0.0001258851697796,-0.0172712135127385,-1.2821299391271417,-2.2980295387400806,1.0830527094435254,win,win
773,train,Batgerel Danaa,Chris Gutierrez,-1.3474497100131326,-0.4000986299381765,0.3879433239001806,0.0001258851697796,-0.0172712135127385,-0.2089672505968048,-1.153986284033562,0.0057617699926063,lose,lose
774,test,Aliaskhab Khizriev,Denis Tiuliulin,0.0070431212440949,0.4280383690485176,0.7826895843948315,0.8474589629562826,1.4881221995019178,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,win,win
775,test,Manon Fiorot,Jennifer Maia,0.0070431212440949,1.745529049254622,0.3879433239001806,0.0001258851697796,-0.0172712135127385,1.2730193192784214,1.706121852732734,-1.071529169458313,win,win
