,result,fighter,opponent,date,weight class,method,kd_dif,str_dif,td_dif,sub_dif,td avg._dif,td acc._dif,td def._dif,sub. avg._dif,slpm_dif,str. acc._dif,sapm_dif,str. def_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif
1704,lose,Jordan Leavitt,Claudio Puelles,2021-06-05,Lightweight,U-DEC:,0.007043121244094929,0.051612460418202076,-0.7962954575837721,0.0001258851697796023,-0.17673819526037543,-0.3398327076166694,-1.005013918754109,-0.19165461032441813,0.29331001630452747,0.9804653957973377,-0.6219682860822664,0.6870660532243589,-0.8293134296146295,0.8386439453494756,-0.5819646566803028,0.005761769992606312
1705,win,Tony Ferguson,Ramsey Nijem,2011-06-04,Welterweight,KO/TKO:Punches,1.3615359525013224,0.35275318732245453,0.7826895843948315,0.0001258851697796023,-2.724508574198062,-0.7245188852194984,0.3687159965624118,-0.09631596705387958,1.292872986653686,0.08858458775961209,1.4171232172622978,-0.32227699088167455,-0.01727121351273854,-0.004555309924359925,-0.009943029327043728,0.005761769992606312
1706,lose,Anthony Pettis,Clay Guida,2011-06-04,Lightweight,U-DEC:,0.007043121244094929,-0.17424308475998723,-1.9805342390677247,0.8474589629562826,-1.4701358493381507,0.46451111828015434,-0.2678905495598786,0.38037724929881395,0.35024714752694763,1.0615454692553123,0.42199772311510014,-0.6587246722503516,-0.01727121351273854,-1.5887478501358088,-1.7260079113868212,0.005761769992606312
1707,win,Ed Herman,Tim Credeur,2011-06-04,Middleweight,KO/TKO:Punch,1.3615359525013224,0.013969869555170527,-0.006802936594470287,0.0001258851697796023,0.9271098026163467,-1.8086344766456524,0.301704781181118,-2.0984274757351913,-0.18116607721564282,1.466945836545188,0.23274072729569475,-1.2475081146455376,-0.01727121351273854,-0.7966515800300844,-0.009943029327043728,0.005761769992606312
1708,win,Kyle Kingsbury,Fabio Maldonado,2011-06-04,Light Heavyweight,U-DEC:,0.007043121244094929,0.6538939142267068,1.1774358448894824,-1.6945402704032262,1.222584266694459,-0.5496615317636669,-0.30139615725052515,-0.5730091834065729,-1.4527620078496986,-1.4519368079419137,-0.31061000263743743,-0.15405315019733556,-0.01727121351273854,-0.6433426245257506,1.1341002253794747,0.005761769992606312
1709,win,Chris Cope,Chuck O'Neil,2011-06-04,Welterweight,U-DEC:,0.007043121244094929,0.72917909595277,-0.006802936594470287,0.0001258851697796023,-0.003913508724120937,0.009881999294993076,2.680602927217045,-0.0009773237833408386,0.5400375849350159,-0.8843762937360886,0.2510559204395081,-1.8362915570407237,-0.01727121351273854,-0.004555309924359925,-0.009943029327043728,0.005761769992606312
1710,win,Jeremy Stephens,Danny Downes,2011-06-04,Lightweight,U-DEC:,0.007043121244094929,0.8797494594048961,2.361674626373435,1.6947920407427854,0.6427853183147667,1.3387978855593108,0.9383113273034085,-0.09631596705387949,0.97022924305997,0.4939849550494873,-0.29839987387489536,1.780521017672561,-0.01727121351273854,1.4007767821986996,0.5620785980262154,0.005761769992606312
1711,win,George Roop,Josh Grispi,2011-06-04,Featherweight,KO/TKO:Punch,1.3615359525013224,3.0253771385976944,-1.5857879785730737,0.0001258851697796023,-0.5168125784446179,0.7442828838094843,1.4408954426631109,-2.0030888324646527,1.2738939429128793,-0.5600559999041881,-0.7623847668515026,0.8552898939086974,-0.01727121351273854,0.6342320046770308,-0.009943029327043728,1.0830527094435254
1712,win,Shamar Bailey,Ryan McGillivray,2011-06-04,Welterweight,U-DEC:,0.007043121244094929,0.5409661416376123,1.9669283658787844,0.0001258851697796023,0.83233497451582,1.1639405321034797,-0.23438494186923156,-0.0009773237833408386,0.19841479760049333,0.007504514301636955,1.0386092256234865,1.444073336303883,1.4881221995019178,-0.004555309924359925,-0.009943029327043728,0.005761769992606312
1713,win,Clay Harvison,Justin Edwards,2011-06-04,Welterweight,S-DEC:,0.007043121244094929,0.5786087325006438,-2.3752804995623755,1.6947920407427854,-0.8290120121875292,2.597770830441296,1.3738842272818175,0.2850386060282752,0.4008579308357658,0.4939849550494873,0.35484201492111783,0.6029541328821889,-0.01727121351273854,-0.004555309924359925,-0.009943029327043728,0.005761769992606312
