,set,fighter,opponent,result,kd_dif,str_dif,td_dif,sub_dif,td avg._dif,td acc._dif,td def._dif,sub. avg._dif,slpm_dif,str. acc._dif,sapm_dif,str. def_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,kd_dif_pred,str_dif_pred,td_dif_pred,sub_dif_pred
2011,test,Frankie Saenz,Augusto Mendes,lose,1.3615359525013224,-0.0613153121708925,-1.5857879785730735,0.0001258851697796,-0.0094884986123872,-0.0600609420873395,-0.636452234156994,0.0943613194871978,0.9765555909735724,1.0615454692553123,-0.2556644232059974,-0.3222769908816745,-0.0172712135127385,1.5285342451189776,-0.0099430293270437,1.0830527094435254,0.007043121244094881,0.007043121244094881,0.007043121244094881,0.007043121244094881
2012,train,Viktor Pesta,Aleksei Oleinik,lose,0.0070431212440949,0.0139698695551705,0.3879433239001806,-0.8472071926167234,0.8156100048510211,-0.6196044731459995,2.111007596476048,-1.8124115459235757,-1.0668547851199603,-0.9654563671940636,-0.7745948956140449,1.023513734593037,-0.0172712135127385,-1.0777179984546963,-0.0099430293270437,1.0830527094435254,0.24057636801258245,0.24057636801258245,0.24057636801258245,0.24057636801258245
2013,test,Alex White,Anthony Rocco Martin,lose,0.0070431212440949,-0.3248134482121134,-0.7962954575837721,0.0001258851697796,0.1131612789294708,0.0448534699861593,0.1006711350372367,-0.4776705401360342,0.6981962827750723,0.4129048815915122,0.287686306727135,0.1823945311713424,1.4881221995019178,0.2509596159161962,-0.0099430293270437,0.0057617699926063,0.05374977059779239,0.05374977059779239,0.05374977059779239,0.05374977059779239
2014,test,Jocelyn Jones-Lybarger,Nina Nunes,lose,0.0070431212440949,-1.0023800837466814,-0.4015491970891212,-1.6945402704032262,0.0518363901585418,-0.269889766234337,0.2681991734904715,-0.4776705401360342,-0.8897170435390966,-1.127616514110014,0.8249319722789962,0.0982826108291729,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,-0.3199034242317876,-0.3199034242317876,-0.3199034242317876,-0.3199034242317876
2015,validation,Chase Sherman,Walt Harris,lose,-1.3474497100131326,-0.4377412208012081,-0.0068029365944702,0.0001258851697796,-0.1655882154838428,-0.969319180057662,-0.1338681187972907,-0.0963159670538795,2.203867086212413,0.6561451019654372,1.9360536896703453,-0.1540531501973355,-1.776059615341257,-0.5155851616054725,-0.0099430293270437,0.0057617699926063,0.10045641995148999,0.10045641995148999,0.10045641995148999,0.10045641995148999
2016,train,Bojan Mihajlovic,Joachim Christensen,lose,-1.3474497100131326,-0.701239356842429,-0.0068029365944702,0.0001258851697796,-0.0039135087241209,0.009881999294993,1.1058393657566428,-0.0009773237833408,-1.5982680098625506,-0.4789759264462134,1.6185903418442458,0.0982826108291724,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,-0.13307682681699745,-0.13307682681699745,-0.13307682681699745,-0.13307682681699745
2017,test,Dmitrii Smoliakov,Cyril Asker,lose,0.0070431212440949,-0.5130264025272712,-0.4015491970891212,0.0001258851697796,-2.4624840494495475,-2.158349183557315,-0.8374858803008749,-0.859025113218189,-1.1933817433920058,0.2507447346755619,-1.2324747242093816,1.6964090973303922,1.1834540518514318,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,0.28728301736628,0.28728301736628,0.28728301736628,0.28728301736628
2018,train,James Irvin,Anderson Silva,lose,-1.3474497100131326,-0.4753838116642396,-0.0068029365944702,0.0001258851697796,-0.2826630031374346,-2.6829212439248087,-1.1055307418260496,-0.2869932535949568,-0.6303367790814038,-1.046536440652039,1.099659869436198,-2.088627318067232,-1.776059615341257,-1.1032694910387522,-2.2980295387400806,0.0057617699926063,-0.36661007358548503,-0.36661007358548503,-0.36661007358548503,-0.36661007358548503
2019,train,Brandon Vera,Reese Andy,win,0.0070431212440949,0.3151105964594229,0.3879433239001806,0.0001258851697796,0.0128114609406778,1.1639405321034797,0.6367608580875864,0.1896999627577365,0.1161722747236636,0.4939849550494877,-0.4266062258815895,-0.4905008315660126,-0.0172712135127385,1.7073946932073671,-0.0099430293270437,2.1603436488944445,0.1004564199514899,0.1004564199514899,0.1004564199514899,0.1004564199514899
2020,train,Hermes Franca,Frankie Edgar,lose,0.0070431212440949,-1.9058022644594383,-3.954265541540979,0.8474589629562826,-0.4331877301206238,0.1847393527508243,-0.9380027033728154,2.001134184897972,-1.2566452225280282,-0.0735755591563381,0.0190634739512044,-0.91106043327686,-0.0172712135127385,-0.336724713517083,-0.0099430293270437,0.0057617699926063,-0.46002337229288,-0.46002337229288,-0.46002337229288,-0.46002337229288
2021,validation,Cain Velasquez,Jake O'Brien,win,0.0070431212440949,0.8797494594048961,0.3879433239001806,0.0001258851697796,-0.706362234645671,-0.3048612369255033,2.0104907734041078,0.1896999627577365,3.2160827523887754,2.115586424208988,0.244950856058237,-0.9951723536190296,-0.0172712135127385,0.6342320046770308,0.5620785980262154,-1.071529169458313,0.7076428615495576,0.7076428615495576,0.7076428615495576,0.7076428615495576
2022,train,Anthony Johnson,Kevin Burns,lose,0.0070431212440949,0.5409661416376123,1.9669283658787844,0.0001258851697796,1.1947093172531278,0.2546822941331567,1.005322542684702,-0.1916546103244182,0.337594451699743,0.7372251754234123,-1.5133076857478542,0.6870660532243584,-0.0172712135127385,-0.8477545651981956,-0.0099430293270437,0.0057617699926063,0.19386971865888494,0.19386971865888494,0.19386971865888494,0.19386971865888494
2023,test,Jesse Taylor,CB Dollaway,lose,0.0070431212440949,0.0139698695551705,0.3879433239001806,-1.6945402704032262,2.0755577195991988,-0.130003883469672,1.2733674042098768,1.810456898356894,-0.4342199937597334,1.4669458365451884,-1.244684852971924,-1.3316200349877076,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,-1.071529169458313,-0.17978347617069498,-0.17978347617069498,-0.17978347617069498,-0.17978347617069498
2024,test,Tim Credeur,Cale Yarbrough,win,1.3615359525013224,0.5033235507745807,-0.0068029365944702,0.0001258851697796,0.2246610766947962,3.5070290684116188,1.675434696497639,3.145197904144435,0.2869836683909249,0.2507447346755619,-4.199536013507161,-1.247508114645538,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,0.33398966671997743,0.33398966671997743,0.33398966671997743,0.33398966671997743
2025,test,Rory Markham,Brodie Farber,win,1.3615359525013224,-0.4377412208012081,-0.0068029365944702,0.0001258851697796,-0.5056625986680855,-1.7386915352633197,-0.6699578418476407,-0.859025113218189,0.1984147976004933,-1.9384172486897648,4.939745365255751,-0.6587246722503521,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,-0.7869699177687626,-0.7869699177687626,-0.7869699177687626,-0.7869699177687626
2026,test,Nate Loughran,Johnny Rees,win,0.0070431212440949,-0.2118856756230187,-0.0068029365944702,1.6947920407427854,-0.6450373458747422,-0.8644047679841633,-1.675126072567046,2.001134184897972,-0.921348783107108,-1.9384172486897648,1.9909992691017864,1.0235137345930363,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,-0.7402632684150652,-0.7402632684150652,-0.7402632684150652,-0.7402632684150652
2027,train,James Giboo,Brad Blackburn,lose,-5.410928203784815,-1.6423041284182176,-0.0068029365944702,0.0001258851697796,-0.5223875683328844,-1.7386915352633197,-2.5462718725238647,-0.6683478266771116,-2.104375842950732,-0.6411360733621632,2.1253106854897514,-2.172739238409401,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,-1.1606231125983424,-1.1606231125983424,-1.1606231125983424,-1.1606231125983424
2028,validation,Shannon Gugerty,Dale Hartt,win,0.0070431212440949,0.0892550512812336,0.3879433239001806,0.0001258851697796,0.5034105711081098,-2.543035361160144,0.8377945042314678,0.857070465651507,0.0845405351556525,0.3318248081335375,0.1961103410080677,-0.6587246722503526,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,0.1471630693051875,0.1471630693051875,0.1471630693051875,0.1471630693051875
