,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,date
158,win,Anthony Birchak:Joe Soto,2:0,16:1,0:0,0:0,Bantamweight,KO/TKO:Punch,1,1:37,"June 06, 2015"
159,win,Francisco Rivera:Alex Caceres,1:0,5:0,0:0,0:0,Bantamweight,KO/TKO:Punch,1,0:21,"June 06, 2015"
160,win,Shawn Jordan:Derrick Lewis,1:0,23:6,3:0,0:0,Heavyweight,KO/TKO:Kick,2,0:48,"June 06, 2015"
161,win,Omari Akhmedov:Brian Ebersole,0:0,15:2,0:0,0:0,Welterweight,KO/TKO:,1,5:00,"June 06, 2015"
162,win,Chris Wade:Christos Giagos,0:0,32:28,4:0,0:0,Lightweight,U-DEC:,3,5:00,"June 06, 2015"
163,win,Joe Proctor:Justin Edwards,0:0,67:63,0:2,3:0,Lightweight,SUB:Guillotine Choke,3,4:58,"June 06, 2015"
164,win,Jake Collier:Ricardo Abreu,0:0,67:47,0:3,0:0,Middleweight,S-DEC:,3,5:00,"June 06, 2015"
165,win,Jose Quinonez:Leonardo Morales,0:0,2:3,1:0,2:0,Bantamweight,SUB:Rear Naked Choke,1,2:34,"June 06, 2015"
166,win,Conor McGregor:Diego Brandao,1:0,18:9,1:0,0:1,Featherweight,KO/TKO:Punch,1,4:05,"July 19, 2014"
167,win,Gunnar Nelson:Zak Cummings,0:0,13:18,1:0,1:0,Welterweight,SUB:Rear Naked Choke,2,4:48,"July 19, 2014"
168,win,Ian McCall:Brad Pickett,0:0,56:22,3:0,0:0,Flyweight,U-DEC:,3,5:00,"July 19, 2014"
169,win,Norman Parke:Naoyuki Kotani,0:0,34:8,2:0,0:0,Lightweight,KO/TKO:Punches,2,3:41,"July 19, 2014"
170,win,Ilir Latifi:Chris Dempsey,0:0,16:1,1:0,0:0,Light Heavyweight,KO/TKO:Punch,1,2:07,"July 19, 2014"
171,win,Neil Seery:Phil Harris,1:0,60:40,2:2,0:0,Flyweight,U-DEC:,3,5:00,"July 19, 2014"
172,win,Cathal Pendred:Mike King,0:1,11:38,3:1,1:2,Middleweight,SUB:Rear Naked Choke,2,3:33,"July 19, 2014"
173,win,Trevor Smith:Tor Troeng,0:0,42:26,2:1,2:0,Middleweight,U-DEC:,3,5:00,"July 19, 2014"
174,win,Nikita Krylov:Cody Donovan,0:1,42:21,0:1,0:2,Light Heavyweight,KO/TKO:Punches,1,4:57,"July 19, 2014"
175,win,Paddy Holohan:Josh Sampo,1:0,10:3,0:0,1:1,Flyweight,SUB:Rear Naked Choke,1,3:06,"July 19, 2014"
176,win,Maurice Smith:David Abbott,0:1,12:5,0:0,1:0,Heavyweight,SUB:Other,1,8:08,"October 17, 1997"
177,win,Mark Kerr:Dwayne Cason,0:0,5:0,1:0,1:0,Heavyweight,SUB:Rear Naked Choke,1,0:53,"October 17, 1997"
178,win,Randy Couture:Vitor Belfort,0:0,34:6,1:0,1:0,Heavyweight,KO/TKO:Punches,1,8:16,"October 17, 1997"
179,win,Dave Beneteau:Carlos Barreto,0:0,13:11,3:2,0:0,Heavyweight,U-DEC:,2,3:00,"October 17, 1997"
180,win,Mark Kerr:Greg Stott,1:0,1:0,0:0,0:0,Heavyweight,KO/TKO:Knee,1,0:17,"October 17, 1997"
181,win,Dwayne Cason:Houston Dorr,0:0,11:1,1:0,0:0,Heavyweight,KO/TKO:Punches,1,3:43,"October 17, 1997"
182,win,Alex Hunter:Harry Moskowitz,0:0,11:12,1:1,0:4,Heavyweight,S-DEC:,1,12:00,"October 17, 1997"
183,win,Tito Ortiz:Yuki Kondo,0:1,16:2,2:0,2:0,Middleweight,SUB:Neck Crank,1,1:52,"December 16, 2000"
184,win,Pat Miletich:Kenichi Yamamoto,0:0,16:3,3:0,2:0,Welterweight,SUB:Guillotine Choke,2,1:58,"December 16, 2000"
185,win,Matt Lindland:Yoji Anjo,0:0,17:0,0:0,0:0,Middleweight,KO/TKO:Punches,1,2:58,"December 16, 2000"
186,win,Fabiano Iha:Daiju Takase,0:0,8:0,1:0,0:0,Welterweight,KO/TKO:Punches,1,2:24,"December 16, 2000"
187,win,Evan Tanner:Lance Gibson,0:0,32:6,1:0,0:0,Middleweight,KO/TKO:Punches,1,4:58,"December 16, 2000"
188,win,Dennis Hallman:Matt Hughes,0:0,0:1,0:1,1:0,Welterweight,SUB:Armbar,1,0:20,"December 16, 2000"
189,win,Chuck Liddell:Jeff Monson,0:0,42:6,0:1,0:0,Middleweight,U-DEC:,3,5:00,"December 16, 2000"
190,win,Joanna Jedrzejczyk:Michelle Waterson-Gomez,0:0,180:58,3:1,1:1,Women's Strawweight,U-DEC:,5,5:00,"October 12, 2019"
191,win,Cub Swanson:Kron Gracie,0:0,135:86,0:0,0:0,Featherweight,U-DEC:,3,5:00,"October 12, 2019"
192,win,Niko Price:James Vick,1:0,11:9,0:0,0:0,Welterweight,KO/TKO:Kick,1,1:44,"October 12, 2019"
193,win,Amanda Ribas:Mackenzie Dern,0:0,74:20,2:0,0:0,Women's Strawweight,U-DEC:,3,5:00,"October 12, 2019"
194,win,Matt Frevola:Luis Pena,0:0,48:51,4:1,0:2,Lightweight,S-DEC:,3,5:00,"October 12, 2019"
195,win,Eryk Anders:Gerald Meerschaert,0:0,64:72,0:0,0:0,Middleweight,S-DEC:,3,5:00,"October 12, 2019"
196,win,Ryan Spann:Devin Clark,0:0,17:17,0:2,1:0,Light Heavyweight,SUB:Guillotine Choke,2,2:01,"October 12, 2019"
197,win,Mike Davis:Thomas Gifford,2:0,139:88,2:0,0:0,Lightweight,KO/TKO:Punch,3,4:45,"October 12, 2019"
198,win,Alex Morono:Max Griffin,1:0,81:75,0:4,0:0,Welterweight,U-DEC:,3,5:00,"October 12, 2019"
