,name,wins,losses,draws,height,weight,reach,stance,age,slpm,str. acc.,sapm,str. def,td avg.,td acc.,td def.,sub. avg.
9347,Greg McIntyre,6,0.0,-0,177.8,69.75,182.16,Orthodox,42,0.79,0.3,1.36,0.41,5.09,0.5,0.0,0.0
9348,Gina Mazany,7,0.0,-0,167.64,56.25,172.72,Southpaw,34,3.73,0.5,3.52,0.5,4.34,0.52,0.33,0.2
9349,Rudyard Moncayo,0,0.0,-0,177.8,87.75,182.16,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9350,Nayara Maia,7,0.0,-1,165.1,56.25,167.64000000000001,Orthodox,32,0.6,0.36,3.33,0.43,1.0,0.33,0.0,1.0
9351,Jack Marshman,23,1.0,-0,182.88,83.25,185.42000000000002,Orthodox,33,2.74,0.25,4.19,0.56,0.0,0.0,0.2,0.0
9352,Nate Mohr,9,0.0,-0,175.26,69.75,182.88,Orthodox,39,3.79,0.41,2.5,0.74,0.45,0.5,0.71,0.0
9353,Fiona Muxlow,6,0.0,-0,162.56,65.25,166.55,Orthodox,45,1.44,0.27,5.45,0.34,0.0,0.0,0.0,0.0
9354,Scott McDonald,1,0.0,-0,178.31,77.0,182.69,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9355,David Marshall,8,0.0,-0,187.96,76.5,192.57,Orthodox,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9356,Doug Marshall,18,8.0,0,177.8,92.25,182.16,Orthodox,47,6.99,0.46,4.02,0.6,0.0,0.0,0.66,2.4
9357,Caio Magalhaes,10,3.0,0,185.42,83.25,185.42000000000002,Orthodox,35,2.27,0.4,2.78,0.56,1.05,0.15,0.58,1.6
9358,Sheymon Moraes,11,4.0,0,172.72,65.25,182.88,Orthodox,32,3.0,0.42,3.64,0.63,0.0,0.0,0.53,0.0
9359,Steve Mann,12,5.0,0,185.42,76.5,189.97,Orthodox,37.31,3.18,0.7,0.66,0.57,1.64,1.0,0.6,0.0
9360,Emil Meek,9,0.0,-1,180.34,76.5,187.96,Switch,34,2.52,0.39,2.53,0.38,0.25,0.33,0.47,1.0
9361,Jeremy Malaterre,4,0.0,-0,180.34,69.75,184.77,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9362,Michelle Maher,1,0.0,-0,178.31,65.25,182.69,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9363,Rob McCullough,19,8.0,0,175.26,69.75,175.26,Orthodox,45,2.47,0.36,2.84,0.59,0.46,1.0,0.68,0.0
9364,Nick Maximov,8,0.0,-0,182.88,83.25,193.04,Southpaw,25,1.93,0.45,2.64,0.46,4.16,0.45,0.35,0.2
9365,Quinn Mulhern,18,4.0,0,190.5,69.75,195.18,Orthodox,38,1.48,0.28,2.09,0.51,1.36,0.2,0.33,0.0
9366,Mark Munoz,14,6.0,0,182.88,83.25,180.34,Orthodox,44,3.12,0.51,2.26,0.57,3.17,0.29,0.57,0.6
9367,Phillip Miller,16,0.0,0,180.34,83.25,184.77,Orthodox,43,1.61,0.54,1.93,0.5,3.62,0.25,1.0,0.6
9368,AJ Matthews,8,0.0,-0,180.34,83.25,184.77,Orthodox,37.31,5.11,0.52,4.96,0.51,0.0,0.0,1.0,0.0
9369,Suman Mokhtarian,8,0.0,-0,172.72,65.25,182.88,Orthodox,30,2.21,0.43,6.85,0.48,0.0,0.0,0.0,0.0
9370,Mallory Martin,7,0.0,-0,162.56,51.75,160.02,Orthodox,28,4.42,0.48,6.64,0.55,2.28,0.43,0.25,0.3
9371,Jim Mullen,0,0.0,-0,185.42,96.75,189.97,Southpaw,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9372,John Maguire,24,9.0,0,175.26,69.75,175.26,Southpaw,39,1.41,0.41,2.44,0.65,2.8,0.46,0.77,1.1
9373,Don'Tale Mayes,9,0.0,-0,198.12,117.0,205.74,Orthodox,30,3.65,0.45,3.84,0.43,1.11,0.53,0.57,0.0
9374,Brooke Mayo,0,0.0,-0,170.18,56.25,174.36,Orthodox,37.31,1.92,0.34,3.2,0.63,3.2,0.6,0.0,2.1
9375,Vinicius Magalhaes,2,0.0,-0,178.31,65.25,182.69,Orthodox,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9376,Jon Murphy,6,0.0,-0,190.5,117.0,195.18,Orthodox,45,3.93,0.66,8.85,0.43,0.0,0.0,0.0,0.0
9377,Sergio Moraes,14,6.0,1,182.88,76.5,182.88,Orthodox,40,2.42,0.42,3.73,0.59,1.2,0.38,0.75,0.4
9378,Gary Mangat,15,3.0,0,170.18,60.75,174.36,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9379,Nicco Montano,5,0.0,-0,165.1,60.75,165.1,Southpaw,34,5.6,0.41,4.43,0.64,2.25,0.54,0.69,0.4
9380,Jimi Manuwa,17,6.0,0,185.42,92.25,200.66,Orthodox,42,3.43,0.54,3.97,0.49,0.53,0.18,0.7,0.4
9381,Ryan McGillivray,12,0.0,1,180.34,76.5,184.77,Orthodox,36,1.27,0.2,2.2,0.52,0.0,0.0,0.44,0.0
9382,Fabio Maldonado,23,1.0,-0,185.42,92.25,190.5,Orthodox,42,5.29,0.58,4.31,0.53,0.44,0.57,0.61,0.6
9383,Drew McFedries,12,7.0,0,182.88,83.25,182.88,Southpaw,44,5.13,0.51,4.56,0.52,1.42,1.0,0.56,0.7
9384,Frank Mir,18,1.0,-0,190.5,118.8,200.66,Southpaw,43,2.18,0.47,3.84,0.38,2.02,0.4,0.54,2.0
9385,Brandon Magana,6,0.0,-0,178.31,76.5,182.69,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9386,Sammy Morgan,18,1.0,-0,177.8,76.5,182.16,Orthodox,41,1.05,0.22,3.74,0.4,1.43,0.2,0.0,0.5
9387,Fazlo Mulabitinovic,4,0.0,-0,178.31,60.75,182.69,Orthodox,37.31,0.54,0.16,0.0,1.0,0.0,0.0,0.0,8.0
9388,Khalid Murtazaliev,14,2.0,0,182.88,83.25,193.04,Orthodox,29,4.8,0.69,0.4,0.78,7.5,1.0,0.33,0.0
9389,Gegard Mousasi,42,6.0,2,187.96,83.25,193.04,Orthodox,37,3.75,0.5,1.21,0.68,1.59,0.6,0.59,1.1
9390,Jack McGlaughlin,1,0.0,-0,178.31,77.0,182.69,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9391,Rory Markham,17,6.0,0,182.88,76.5,180.34,Orthodox,40,1.98,0.21,10.27,0.45,0.0,0.0,0.0,0.0
9392,Enrique Marin,10,4.0,0,177.8,76.5,182.16,Orthodox,36,1.43,0.33,3.0,0.5,2.5,0.38,0.6,1.0
9393,Kaline Medeiros,8,0.0,-0,160.02,51.75,163.95,Orthodox,37.31,2.06,0.7,0.29,0.83,4.41,1.0,0.0,4.4
